FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
48031,374.2,9110,13,10.5,97.7,1,17.5,0.5,0.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1400,32.9,32.9,181,494,385,0,8,7,-2222,1,1,1,1
40113,374.1,45416,20,13.1,68,11,2.2,14.4,0.3,33.2,88.1,30.7,36.8,25.7,10.4,7362,11,17.6,996,2823,2065,2,14,12,671860,1,1,1,1
54089,374.1,13740,38,22.4,91.6,7.4,0.7,0.2,0.2,33.5,-1111.1,28.8,-1111.1,30.4,9.2,2301,43.7,14.6,279,1084,562,0,16,2,-2222,1,1,1,1
51191,374,52085,93,12.2,97.4,1.6,0.8,0.1,0.4,30.2,77.8,24.1,27.7,24.1,8.9,5261,86.4,34.6,1150,3084,2444,2,41,2,63075,1,1,1,1
05073,374,8027,15,20.5,63.1,36.1,1.6,0.4,0.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.2,1636,37.4,12.5,231,520,443,1,9,2,-2222,1,1,1,1
12077,374,7773,9,17.2,79,19,6.5,1.7,0.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.3,1042,0,12.9,107,431,424,0,20,9,23999,1,1,1,1
30057,373.9,7274,2,11.6,98.3,0,2,0.7,0.2,20.6,69.1,14.5,21,17.2,3.2,1281,96.2,13.7,126,556,362,3,6,0,-2222,1,1,1,1
55109,373.8,77144,107,4.2,97.3,0.5,1.2,0.4,1.1,13.6,81.1,25.7,17.6,20.7,4.5,3531,48,29.8,1952,4905,4048,8,21,1,79228,1,1,1,1
51195,373.8,41997,104,19.4,93.5,5.5,0.9,0.2,0.4,32.8,79.5,31.4,34.2,28.3,14.6,5811,69.1,16.7,781,2427,2036,1,33,3,342,1,1,1,1
06107,373.7,410874,85,21.5,90.9,1.9,54.7,1.9,3.8,34.9,73.3,24.9,22.4,18.6,9.7,100242,53.8,33.3,17366,19106,27671,13,0,0,239754,1,2,1,1
15001,373.6,167293,42,13.1,35.9,0.7,6.4,0.5,36,20.2,75.9,19.6,23.9,21.1,6.8,24902,89.1,49,2673,8436,10922,16,126,25,388592,1,1,1,1
16005,373.5,78155,70,13.5,93.5,0.7,5.2,3.1,1.3,17.5,80,23.7,22.1,18,7,12259,83.2,48.6,1564,4795,3546,28,51,4,43730,1,1,1,1
08003,372.9,15282,21,18.4,92.5,1.7,43,3,1.5,19.3,83.9,18.2,19,17.5,5.5,3261,78.5,52.3,458,1036,1352,4,23,14,-2222,1,1,1,1
12037,372.9,10177,19,14.6,88.7,10,1.5,0.4,0.4,-1111.1,-1111.1,11.9,-1111.1,-1111.1,2.7,1687,59,9.8,202,565,520,0,18,26,-2222,1,1,1,1
49003,372.8,46440,8,8.4,96.8,0.3,7.2,1,1.1,19.3,86.7,26,27.6,10.7,4.7,5413,40.9,47.4,1003,3246,1755,4,10,4,10404720,1,1,1,1
26039,372.7,15074,27,12.5,95.9,2.5,1.5,0.7,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.3,1973,59.7,33.2,461,883,953,1,11,0,37038,1,1,1,1
48427,372.6,60941,50,36.2,98.6,0.5,97.5,0.3,0.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,20668,21.3,3.3,2764,2727,2614,0,42,15,-2222,1,1,1,1
41037,372.3,7313,1,15,95,0.2,6.3,2.5,0.8,24.3,-1111.1,-1111.1,-1111.1,20.2,3.9,1484,41,54.7,307,552,529,0,5,0,-2222,1,1,1,1
08093,372,16949,8,7.2,96.6,0.8,5.8,0.8,0.6,15.6,-1111.1,15.9,-1111.1,20.4,2.5,2169,17.7,5.9,427,1260,1258,6,9,5,-2222,1,1,1,1
48087,371.4,2968,3,18.5,91.4,5.7,25.7,1.8,0.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,630,0,33.7,74,157,127,1,6,6,-2222,1,1,1,1
51107,371.4,255518,492,3.7,78.2,7.5,9.1,0.3,11.5,11.5,76.4,17.5,14.6,13.4,2.7,22067,66.9,23.5,2773,13500,11449,6,94,24,6869,1,2,1,1
15007,371,62640,101,10.5,33.9,0.4,5.7,0.4,43.8,17.3,77,17.4,26.2,20.7,7,8126,99,59.1,884,3192,3949,6,46,2,23019,1,1,1,1
51013,370.4,195965,7575,7.4,80,8.8,15.8,0.4,9,12.2,66.6,13.6,17.1,15.4,5.2,21924,127.6,57.7,3026,11907,8650,6,105,52,1311,1,2,1,1
12013,370.2,13290,23,18.1,81.3,15.9,4.4,1.4,0.6,-1111.1,-1111.1,17,-1111.1,-1111.1,4.8,2015,45.1,30.1,219,726,722,0,28,14,-2222,1,1,1,1
49047,369.4,26995,6,12.4,89,0.2,3.8,9.4,0.5,24.7,81.5,24.5,20.1,20.1,7.1,4626,40.7,25.9,580,1933,1030,2,9,1,1554979,1,1,1,1
08087,369,27995,22,12.8,97.3,0.7,32.2,1,0.5,34.4,77.4,25.6,21.9,24.4,4.2,5406,64.3,35.7,633,1873,2116,7,29,8,3540785,1,1,1,1
12073,369,245756,369,14,65.8,30.2,4,0.3,2.5,20.6,77.4,16.2,19.6,20.1,4.6,32754,102.1,37.4,4400,13143,15566,2,258,76,144954,1,1,1,1
31031,368.9,6098,1,12.4,93.4,0.1,1,4.3,0.7,26.5,82.3,26.1,-1111.1,18.3,5.8,1213,65.6,32.8,88,373,227,2,9,4,-2222,1,1,1,1
51017,368.3,4937,9,8,91.9,7.1,0.4,0.1,0.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,401,60.8,40.5,103,300,223,0,12,1,-2222,1,1,1,1
48195,368.2,5230,6,13.7,98.2,0.3,38.8,0.9,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1048,19.1,0,95,264,218,0,2,1,-2222,1,1,1,1
35007,368.2,13755,4,15.6,96.5,0.5,46.7,1.9,0.4,24.5,80.6,20.4,21.4,21.5,8.4,3255,87.2,29.1,380,902,825,1,11,4,222,1,1,1,1
37149,368,19134,80,10.2,93.3,5.6,3.2,0.3,0.3,-1111.1,-1111.1,-1111.1,-1111.1,24.7,6.9,2360,62.7,26.1,363,1178,1236,0,19,1,-2222,1,1,1,1
30019,367.8,1836,1,11.9,97.2,0.2,1.7,1.4,0.5,-1111.1,82.5,-1111.1,-1111.1,10.6,10.3,361,0,0,28,141,90,0,0,0,-2222,1,1,1,1
16077,367.7,7753,6,14.5,96,0.3,25.4,3.2,0.5,26.3,74.7,28.7,25.6,17.3,5.7,1713,12.9,25.8,172,463,337,0,6,3,325226,1,1,1,1
31135,367.4,3057,3,10.1,99,0.1,2.7,0.3,0.3,27.8,-1111.1,18.6,-1111.1,14.8,12.2,478,65.4,32.7,41,188,115,2,3,0,-2222,1,1,1,1
48299,367.2,18236,20,12.3,98,0.5,7.3,0.4,0.4,-1111.1,-1111.1,10.8,-1111.1,-1111.1,-1111.1,2705,98.7,21.9,355,1080,709,1,16,11,-2222,1,1,1,1
55091,367.1,7380,32,8.1,98.9,0.3,0.5,0.2,0.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,680,67.8,40.7,205,481,384,6,16,2,-2222,1,1,1,1
51051,366.3,16243,49,18.4,99.1,0.6,0.5,0.1,0.1,25.3,-1111.1,-1111.1,-1111.1,-1111.1,6.9,2375,49.3,12.3,362,958,769,0,2,0,-2222,1,1,1,1
08091,366,4260,8,7.6,97.9,0.1,3.8,0.8,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,497,117.4,23.5,99,322,318,0,5,0,-2222,1,1,1,1
48457,365.8,20617,22,17.5,86.8,11.3,4.7,0.5,0.3,-1111.1,-1111.1,12.1,-1111.1,16.5,2.1,3225,29.1,29.1,618,1141,880,0,15,14,0,1,1,1,1
29197,365.7,4308,14,13.6,98.8,0,0.7,0.1,0.2,-1111.1,-1111.1,15.3,-1111.1,-1111.1,6.2,636,0,46.4,134,292,198,2,4,0,-2222,1,1,1,1
48465,365.7,47596,15,22.4,96.4,1.7,78.1,0.8,0.8,-1111.1,-1111.1,-1111.1,-1111.1,14.8,15.7,11793,50.4,16.8,1330,2326,2004,0,73,52,0,1,1,1,1
51063,365.6,14649,38,11.4,97.5,1.9,2.1,0,0.3,-1111.1,-1111.1,20,-1111.1,-1111.1,11.9,1632,27.3,20.5,247,858,660,0,17,1,8480,1,1,1,1
